,Winery,Lats,Longs
71,Yardstick,37.1230605,-94.52945009999999
72,Albatross Ridge,36.5552899,-121.922627
73,Alta Colina,35.650182,-120.7449239
74,Big Basin,37.1716284,-122.2227571
75,Castello di Gabbiano,43.6282453,11.2604592
76,Château Vincens,44.4559157,1.2803746
77,Chronic Cellars,35.6743698,-120.7302499
78,Claiborne & Churchill,36.750671,-95.938194
79,Domaine Berthoumieu,43.611784,-0.123643
80,Dracaena,38.8973138,-77.06927639999999
81,Duckhorn,38.5294953,-122.4907266
82,Dutton-Goldfield,38.4372408,-122.8583184
83,Le Cadeau,45.27249,-123.0161911
84,La Chablisienne,41.5085414,-81.6953685
85,Alamos,27.0254869,-108.941309
86,Bertrand Ambroise,46.0742431,-73.5584433
87,Sequum,38.4985372,-122.4562633
88,Sierra Starr,39.2192127,-121.0628905
89,Terlan,46.5384622,11.2421084
90,J. Lohr,37.3338454,-121.9128062
91,Courtney Benham,38.4687308,-122.8507472
92,Del Carlo Winery,38.6737658,-122.9366162
93,Domaine St Pierre,46.2210348,-72.9233728
94,Famille Perrin,38.88924799999999,-77.128087
95,Matarromera,41.639593,-4.259382
96,MCV,37.5430751,-77.4293114
97,Mounts,26.685474,-80.11310999999999
98,Robert Mondavi,38.4412684,-122.4098023
99,Sixteen by Twenty,41.9625914,-70.6693879
100,St. Pauls,37.06250000000001,-95.677068
101,Mendel,41.920648,-88.334381
102,Bloomer Creek,42.4896559,-76.86999759999999
103,Andean Sky,40.6912893,-74.2922936
104,Silvan Ridge,43.9569919,-123.2644798
105,D'Arenberg,-35.19721639999999,138.5511368
106,Domaine du Tariquet,43.8533307,0.1686208
107,J. & F. Lurton,37.09024,-95.712891
108,Finca Las Moras,31.7215363,-106.4541641
109,Amity,41.35755510000001,-73.00772479999999
110,Cherry Hill,39.926813,-75.0246312
111,Cueva de las Manos,-47.15222139999999,-70.66270349999999
112,Esterlina,39.137517,-123.502657
113,Willamette Valley Vineyards,44.8279071,-123.012622
114,Beaver Creek,39.6042863,-106.5167109
115,O. Fournier,-33.803535,-69.1184171
116,Sottano,-33.0950929,-68.9244311
117,I Giusti e Zanza,43.5821411,10.5195897
118,J. Christopher,37.09024,-95.712891
119,Viña Cobos,-33.0969611,-68.9241878
120,Acústic,32.5347546,-117.0426321
121,Domaine Daniel Dugois,46.9491599,5.7903464
122,Kilikanoon,-33.920153,138.623235
123,Claudia Springs,39.131897,-123.5326015
124,Domaine Bertagna,47.17600729999999,4.963523599999999
125,Lucas Vineyards,42.62787,-76.71015400000002
126,Jacquart,46.4615187,-90.1439877
127,Château Notre Dame du Quatourze,43.15952,2.999774
128,Mémoires,45.5424476,-73.6066992
129,Cavas Hill,38.8818875,-76.9952431
130,Antoine Moltès & Fils,47.983338,7.289172000000001
131,Pezzi King,38.6060807,-122.8622981
132,Bellisco,40.4029249,-3.7536039
133,Chambers Rosewood Vineyards,-36.044718,146.45081
134,Torbreck,-34.476955,138.950515
135,Cavallotto,44.628496,7.977163
136,Rochioli,38.5335045,-122.8672302
137,Louis Latour,47.0460897,4.8430497
138,Jasper Hill,44.5867387,-72.2694154
139,Château de la Tour,49.1939223,2.4253064
140,Philippe Colin,46.9277443,4.7401848
141,Bel Colle,44.65851,7.926939999999999
142,J. Davies,38.4983541,-122.4622424
143,Winderlea,45.2790608,-123.0431149
144,Wakefield,42.5039395,-71.0723391
145,Cantina Terlano,46.5306691,11.2519441
146,Montresor,34.1409428,-118.375299
147,Ronco del Gelso,45.9475299,13.4759599
148,Elena Walch,46.3385258,11.2385953
149,Gini,39.31360310000001,-94.684198
150,Borgo Conventi,45.9158543,13.5265166
151,Volpe Pasini,46.11290690000001,13.3975465
152,La Vis,46.1377955,11.1075308
153,Tommasi,45.6651484,10.9450032
154,San Michele Eppan,46.4560767,11.2623877
155,Kynsi,35.1898748,-120.5815339
156,McGregor,31.4440557,-97.4091792
157,Miles,37.09024,-95.712891
158,Red Newt Cellars,42.5015803,-76.8667361
159,Guardian,37.09024,-95.712891
160,Kerloo,47.5676354,-122.3354681
161,Las Positas,37.711689,-121.7997617
162,Luberri,42.5185709,-2.6266005
163,Milbrandt,46.2195744,-119.7781674
164,Ojai,34.4480495,-119.242889
165,ONX,36.09663949999999,-95.8835567
166,Pomum,47.761911,-122.149475
167,Prospect 772,38.038356,-120.624826
168,Revello Fratelli,44.637027,7.956299899999999
169,Tenuta La Marchesa,44.740072,8.791951000000001
170,Trione,38.6878142,-122.8804258
171,Vinos de Arganza,42.546078,-6.783644
172,Walla Walla Vintners,46.088215,-118.20394
173,Dunbar,39.7562424,-104.9758933
174,Fattorie Romeo del Castello,37.886828,14.982753
175,Flying Cloud,44.8271762,-93.46107769999999
176,Gadais Père et Fils,47.144298,-1.422139
177,André Brunel,30.3689961,-97.7875389
178,Majolini,43.6581,-79.34965299999999
179,Montemercurio,43.075517,11.77395
180,Philippe Fontaine,48.0300825,4.369076600000001
181,Pillitteri,43.2292472,-79.1139863
182,Roederer Estate,39.108426,-123.49712
183,Bellavista,36.481464,-94.2732642
184,Chanoine,45.45641570000001,-73.5771714
185,Chehalem,45.3278962,-122.88871
186,Henri de Villamont,47.0627857,4.822101
187,Vollereaux,49.0168021,3.9340045
188,Valentina Cubi,45.5307444,10.891579
189,Domaine Serene,45.2712069,-123.070702
190,H. Blin,49.0923446,3.6425539
191,Château Vray Croix de Gay,44.94192289999999,-0.1720111
192,Sparkman,34.8342964,-86.7160853
193,Louis Bernard,45.5058167,-73.5669017
194,V&N; Cellars,37.09024,-95.712891
195,Zerba Cellars,45.9953281,-118.3884389
196,Insania,25.6868124,-100.2106801
197,Lava Cap,38.751203,-120.7397911
198,Loess,40.0828115,-95.25259299999999
199,MICA Cellars,38.601002,-120.676109
200,Domaine du Grand Cros,43.3194098,6.1871183
201,El Coto,43.0797312,-6.236599099999999
202,Fenestra,39.0868408,-77.15085309999999
203,Alain Jaume et Fils,39.141235,-78.13156699999999
204,Aleo,32.9154473,-96.95145079999999
205,Camaraderie,42.7606553,-71.46543869999999
206,Beringer,38.510162,-122.479888
207,Boude Baudin,49.1104594,3.9103577
208,D.R. Stephens,37.0359183,-95.644049
209,Davis Family,36.7911913,-95.9353524
210,Domaine Jeannin-Naltet,46.836294,4.730897
211,Qupé,34.666689,-120.115102
212,Rex Hill,45.3143194,-122.9197436
213,Ruby,36.117263,-95.88929999999999
214,Structure,36.202481,-95.834469
215,Tumwater,47.0073187,-122.9093063
216,Jeaunaux-Robin,48.8323609,3.746904799999999
217,Joseph Jewell,38.473521,-122.89102
218,Le Vigne,35.6743813,-120.6591659
219,Northstar,37.0161996,-95.9281127
220,Padis,37.772123,-122.405294
221,Paul O'Brien,43.2091339,-123.3466363
222,Flying Goat Cellars,34.6426455,-120.4389362
223,Abbazia di Novacella,46.7423199,11.6487423
224,Midsummer Cellars,38.540157,-122.470219
225,Les Belles Collines,40.7526842,-73.9759022
226,Lutum,34.6423361,-120.4356912
227,Turiya,39.1506328,-77.9807591
228,Iron Horse,36.4173807,-95.73136869999999
229,Brandini,33.738943,-116.406298
230,Artesa,38.269161,-122.355377
231,Carlisle,40.2010241,-77.20027449999999
232,Château Vignelaure,43.612527,5.690595999999999
233,Clos d'Argentine,-33.6670189,-69.19424599999999
234,Mas de Cadenet,43.4766535,5.6614244
235,Passing Time,47.76393969999999,-122.1503138
236,Sanctuary,36.1184563,-95.8970454
237,Terre Rouge,38.5203975,-120.8238467
238,Limerick Lane,38.5882656,-122.8299633
239,Loring Wine Company,34.6144876,-120.1994083
240,Eighty Four,40.18260170000001,-80.13302639999999
241,Four Lanterns,35.5690204,-120.7403535
242,World's End,42.2584408,-70.8739882
243,Benegas,36.1396988,-86.8034874
244,W.H. Smith,40.7518494,-73.976451
245,Alleromb,46.0687717,-118.3359469
246,Ardor,35.3712146,-97.4766133
247,Berryessa Gap,38.5137584,-122.0032452
248,Brezza,33.772597,-84.36554129999999
249,Château de Campuget,43.8016176,4.5049684
250,Château de l'Aubrade,44.680904,0.011487
251,Château de Pressac,44.8835005,-0.09020299999999999
252,Château Maison Noble Saint Martin,44.6668899,-0.0220877
253,Cupcake,36.1529741,-95.9948994
254,Raconteur,47.5557993,-122.2704629
255,Savage Grace,47.7691156,-122.1525333
256,Seven Falls,38.7828688,-104.8803454
257,Silvertip,46.8376648,-114.0084555
258,Stevens,40.7448183,-74.02564819999999
259,Trinity River,29.7430556,-94.70333330000001
260,Vintage Cowboy,35.3047457,-120.3743852
261,Kontos,40.9336726,-74.1612461
262,L'Ecole No. 41,46.0568335,-118.5813475
263,Midnight,36.0772404,-95.9576542
264,Príncipe de Viana,47.6960395,-122.3739256
265,Quady North,42.313854,-122.965986
266,Raptor Ridge,45.3852286,-122.9492007
267,Tilia,44.9246358,-93.3141271
268,Colter's Creek,46.577831,-116.706401
269,Kangarilla Road,-35.2144442,138.5657294
270,Walt,28.385233,-81.563874
271,WillaKenzie Estate,45.3591443,-123.1349562
272,Willm,48.4097672,7.448133299999999
273,Jean-Marc Bernhard,48.1078694,7.2822944
274,Yeringberg,-37.6943215,145.4219552
275,Armida,38.5885292,-122.8805448
276,Marqués de Murrieta,42.4579426,-2.381978
277,Biecher & Schaal,48.21975219999999,7.3959377
278,Domaines Schlumberger,47.91208899999999,7.206303999999999
279,Foxen,34.8201921,-120.2302395
280,Melhill,34.0417374,-118.4698191
281,Niner,40.5686268,-105.0345206
282,Purple Hands,45.2736943,-123.0149232
283,Stone The Crows,38.5027778,-122.4697222
284,Sturm,39.6793255,-104.961337
285,Kuentz-Bas,48.0349643,7.280920699999998
286,Plantagenet,45.535115,-74.998847
287,Scratch,36.0904891,-95.92586
288,Sipp Mack,48.179593,7.307117
289,St. Amant,30.2246409,-90.86898599999999
290,Stoller,45.2412037,-123.0699635
291,Vine Cliff,38.4879514,-122.4495508
292,Va Piano,40.7341566,-73.9922856
293,Y Rousseau,38.2587139,-122.2717063
294,Monte Volpe,39.257119,-123.2376142
295,Palladino,46.500598,-80.965057
296,Paradise Ridge,38.4930065,-122.7236599
297,Pecchenino,44.545948,7.950522
298,Poet's Leap,46.0701256,-118.4902834
299,Rafael Cambra,38.781421,-0.782554
300,Seven Hills,41.3953304,-81.67623920000001
301,Snoqualmie,47.5287132,-121.8253906
302,Stags' Leap Winery,38.4141825,-122.3213126
303,Truchard,38.285684,-122.323161
304,Acacia,37.138872,-93.2374437
305,Array,34.0783584,-107.6183633
306,Barrister,38.8932778,-94.6727238
307,Bodegas Berceo,42.5758538,-2.8468071
308,Bunnell,29.4660863,-81.25784159999999
309,Castello di Neive,44.72521829999999,8.1145513
310,Castello di Querceto,43.5966201,11.3773989
311,Chateau Ste. Michelle,47.7298044,-122.1493133
312,Cobb,28.0002545,-81.9817668
313,Comm. G. B. Burlotto,44.666899,7.930846799999999
314,Cooper-Garrod,37.276392,-122.059714
315,Mosquito Fleet,47.4545081,-122.827595
316,Nadia,45.093794,-93.426513
317,Nottingham Cellars,37.6765212,-121.7192675
318,Poggio Argentiera,42.67217,11.148368
319,Pride Mountain,38.5258111,-122.5629009
320,Ruffino,30.3530435,-91.0218548
321,Woodinville Wine Cellars,47.7567175,-122.1636001
322,El Enemigo,-33.0445174,-68.7241666
323,Château d'Esclans,43.529267,6.567991
324,Domaine de la Bastide Blanche,43.2225069,5.7537764
325,Domaine Sainte-Marie,47.184903,-70.822031
326,Dry Creek Vineyard,38.65291,-122.924876
327,Dutton Estate,38.444829,-122.865102
328,Failla,38.5481305,-122.4904169
329,Friedeman,38.4041699,-122.8197214
330,JCB,38.8020692,-90.66416509999999
331,Cave de Viré,29.6870415,-98.352533
332,Domaine Bousquet,45.53279029999999,-72.8601865
333,Paolo Manzone,44.6215152,7.992768
334,Rascal,36.2267643,-95.7305386
335,Jack's House,46.35523999999999,-94.16153399999999
336,Domaine Michel Goubard,46.7547745,4.7006065
337,Domaine Poulleau Père et Fils,46.99954289999999,4.7806515
338,Durigutti,-33.036355,-68.964604
339,El Esteco,-26.0635616,-65.9638677
340,Lagarde,35.7873829,-78.5857111
341,Marchesi di Barolo,44.6112519,7.940362100000001
342,Patriarche Père et Fils,47.0261997,4.838942299999999
343,Paul Reitz,38.676724,-90.401861
344,Pech Merle,38.7061639,-122.9038419
345,Jacob's Creek,-34.5643161,138.9391708
346,Cave de Beblenheim,48.15898070000001,7.3268589
347,Monte De Oro,33.54537610000001,-117.0461618
348,Oro de Castilla,25.8158273,-100.2756214
349,42°S,36.1290217,-97.0748599
350,Manyana,-35.25,150.516667
351,McWilliam's Hanwood Estate,-34.3476865,146.0456621
352,G. H. Mumm,38.47831530000001,-122.3937191
353,Patton Valley,45.449864,-123.1608028
354,Pierre Gimonnet et Fils,48.998794,3.9663972
355,Adelsheim,45.3385536,-123.0496957
356,Bruno Paillard,40.7983445,-73.9694662
357,San Pedro de Yacochuya,-26.0417168,-66.02396879999999
358,St. Supéry,38.4552623,-122.4143177
359,Barnard Griffin,46.2547276,-119.2989596
360,Beacon Hill,42.3587999,-71.0707389
361,Bernard Magrez,44.852782,-0.5889146
362,Brian Carter Cellars,47.731433,-122.141257
363,Buttonwood,42.3215601,-71.2080086
364,Château Corbin,44.921863,-0.17654
365,Château La Branne,44.8335081,-0.1878458
366,Château Mille-Roses,44.9973241,-0.6380653
367,Chessman,28.6521782,-81.2438736
368,Deerfield Ranch,38.40636629999999,-122.541946
369,Domaine Franck Besson,46.23057499999999,4.686995
370,Efeste,47.7714517,-122.1457261
371,Firesteed,44.9654306,-123.2240907
372,Iron Hub,38.5391413,-120.7911309
373,Kooyong,-37.841944,145.035
374,Moncaro,43.5251824,13.0976967
375,Finca Constancia,39.9945624,-4.5327629
376,Aiken,33.5604168,-81.7195533
377,Donkey & Goat,37.1286204,-94.6100771
378,Finn Hill,47.7141386,-122.2402528
379,Les Vins Aujoux,46.1891059,4.7009764
380,Pata Negra,32.7999715,-117.2394275
381,Ridolfi,47.6099975,-122.334586
382,Still Waters,36.6378713,-93.3449275
383,Stomping Ground,38.8265895,-77.058515
384,Tenuta Poggio il Castellare,43.101003,11.5446008
385,Tenuta San Giorgio,45.7725133,12.3353178
386,Clos Troteligotte,44.3940446,1.3415622
387,Columbia Winery,47.7338738,-122.1519866
388,Domaine de Thulon,46.15622949999999,4.632992199999999
389,Domaine du Haut-Poncié,46.2056933,4.703442000000001
390,Dosio,30.1623896,-81.7002231
391,Georges Duboeuf,40.7983445,-73.9694662
392,Juvé y Camps,41.4244571,1.7909014
393,Leaping Horse,39.3628052,-104.8622992
394,Manoir du Carra,46.00769,4.623591999999999
395,Maryhill,45.6870683,-120.8136737
396,Cottanera,37.886166,15.029575
397,Domaine Barmès-Buecher,48.06011059999999,7.2985468
398,Domaine Bott-Geyl,48.1563589,7.3286668
399,Domaine Faiveley,42.134279,-72.624506
400,Domaine Jacques Prieur,46.9798605,4.774568599999999
401,Domaine Roland Schmitt,48.5757708,7.4577272
402,Easton,40.0530885,-82.9151849
403,Edna Valley Vineyard,35.2170004,-120.6075179
404,Fattoria La Rivolta,41.1724702,14.7107497
405,Fess Parker,34.742742,-120.11879
406,Gershon Bachus,33.5167492,-117.0157038
407,Graci,43.6512761,-79.3818447
408,Tornatore,28.587187,-81.3942379
409,West of Temperance,38.471452,-122.742399
410,Beresford,43.0805446,-96.77365499999999
411,Carabella,40.516077,-79.84269499999999
412,Casa Dumetz,34.7438804,-120.2797656
413,Greenwood Ridge,39.0978796,-123.4843354
414,Herencia,36.7326431,-119.7981907
415,J. Scott Cellars,44.0540094,-123.1679395
416,Vall Llach,41.188326,0.856717
417,Château Ferrière,45.0432789,-0.6778377999999999
418,Fuentes,31.462296,-100.436875
419,Loup Blanc,47.5192468,-70.5142142
420,Owen Roe,46.5191572,-120.4461433
421,Bergevin Lane,46.0584107,-118.3529953
422,Hungerford Hill,-32.7778025,151.3361819
423,Leonesse Cellars,33.5239087,-117.0184667
424,Market Vineyards,47.733966,-122.1413539
425,Morlanda,41.1402974,0.7981484999999999
426,Boffa,10.1808254,-14.0391615
427,Cascina Bruciata,44.707275,8.081794
428,Antucura,-33.6643647,-69.1349343
429,Fullerton,33.8703645,-117.9242123
430,Graffigna,38.1357807,-121.2719758
431,Coelho,41.9096054,-71.36886129999999
432,Deltetto,44.7926337,7.999583500000001
433,Diego Conterno,44.5769374,7.967625199999999
434,Sidewood,-35.010901,138.7840452
435,Battaglio,39.9566307,-74.1765889
436,Bella Grace,38.3938113,-120.8034416
437,Bodega Calle,-33.022236,-68.875812
438,Borgogno F.lli Serio e Battista,44.6193116,7.948184899999999
439,Château les Petits Arnauds,45.130862,-0.6281939999999999
440,Château Ségonzac,45.1545375,-0.6577098
441,Covila,42.4880514,-2.5786641
442,Cuda Ridge Wines,37.654755,-121.766572
443,Duménil,39.0455045,-76.0662375
444,Ego Bodegas,38.58021,-1.266145
445,Ektimo Vineyards,38.4546132,-122.8811751
446,Folin Cellars,42.505946,-122.992618
447,Francis Coppola,38.6795519,-122.8878471
448,Frank Family,38.559106,-122.521703
449,Travaglini,45.61181269999999,-73.5893578
450,Yorkville Cellars,38.906269,-123.231222
451,Agustí Torelló Mata,40.7437839,-73.9893618
452,Amalie Robert,44.875404,-123.3014274
453,Bersano,44.7732208,8.3605358
454,Cantine di Marzo,41.0124884,14.8185561
455,Carica,37.9054418,-122.3646173
456,Ignacio Marín,38.0757824,-122.5367899
457,Château de Bel,44.8905247,-0.2603137
458,Vranken,40.7472661,-73.98444359999999
459,Pommery,40.7472661,-73.98444359999999
460,Covington,30.4754702,-90.1009108
461,Château Lamothe-Vincent,41.0391175,-73.78369099999999
462,Yvon Mau,44.5855542,-0.0880643
463,Lachini,45.3480268,-123.0534539
464,Mauro,34.083476,-118.366486
465,Domaine des Terrisses,43.92729,1.8651564
466,The Four Graces,45.28578359999999,-123.0047975
467,Arcane Cellars,45.099497,-123.049413
468,Benton-Lane,44.2871218,-123.2967974
469,Château Puy-Servain,44.8742637,0.2137224
470,Brecon Estate,35.5978941,-120.8316768
471,Callaway,37.09024,-95.712891
472,Casa di Grazia,37.033171,14.3307525
473,Ruhlmann,40.75917889999999,-73.97805009999999
474,Spring Mountain Vineyard,38.5070904,-122.4921781
475,Stanton Vineyard,38.5026543,-122.4580151
476,Cusumano,41.3679869,-75.7375741
477,Dragonette,34.6657398,-120.1141162
478,Grgich Hills,38.4653981,-122.4289932
479,Linaje Garsea,41.66442259999999,-3.7430861
480,Ventana,36.229167,-121.7603537
481,Vieil Armand,47.8605556,7.160555599999999
482,Viticultori Associati Canicatti,37.36365,13.7795704
483,Vivera,40.7545711,-73.969248
484,WildAire,40.7200208,-73.9891633
485,Pazo Torrado,42.5175614,-8.8143146
486,Sur de los Andes,25.7392455,-100.2791052
487,Honeywood Winery,44.9262902,-123.028373
488,Marqués de Vizhoja,42.1332617,-8.2624025
489,Finca La Emperatriz,42.496909,-2.940731
490,Château Bélingard,44.7997879,0.4332303
491,Scott Harvey,38.5184676,-120.8222519
492,Trisaetum,45.3496737,-123.0757244
493,Bergström,45.3494203,-123.0507672
494,Mauro Veglio,44.6398308,7.9483712
495,Schild Estate,-34.59126510000001,138.8609345
496,Shafer,37.0419051,-95.66284449999999
497,Alphonse Mellot,47.3322829,2.8405604
498,Ascheri,44.692088,7.8478
499,Big Table Farm,45.412962,-123.1985101
500,Horsepower,28.0246007,-82.6482595
501,Château de Parnay,47.230995,0.011985
502,Tres Sabores,38.4615461,-122.4445343
503,Williams Selyem,38.5204049,-122.8667194
504,Cayuse,45.5161782,-122.6749798
505,Chappellet,38.481789,-122.33546
506,Dion,36.0728549,-95.905311
507,Domaine Bernard Fleuriet et Fils,47.3336332,2.7713266
508,Drouhin Oregon Roserock,45.2655399,-123.0556336
509,Rutherford Ranch,38.4885429,-122.4071289
510,Sextant,45.6004413,-122.6220069
511,Landmark,37.09024,-95.712891
512,Mercer,32.8288186,-83.64977689999999
513,Michel Gassier,43.791795,4.372885
514,Nada Fiorenzo,44.698586,8.069050299999999
515,Barrage Cellars,47.7692774,-122.1516727
516,Bonny Doon,37.0416156,-122.1505224
517,Castellroig,39.9673566,-74.98576709999999
518,Château d'Or et de Gueules,43.682832,4.379167
519,Citille di Sopra,43.0990578,11.5735907
520,Cookies & Cream,37.4171985,-95.6845621
521,Daou,35.641263,-120.784292
522,Dei,39.2947087,-84.53766999999999
523,Domaine de Gensac,44.8065005,0.07631199999999999
524,Domaine Rolet Père et Fils,46.9157471,5.7519748
525,Wilridge,42.0652039,-87.72794209999999
526,Belden Barns,38.367125,-122.604111
527,Château du Retout,45.101311,-0.7271597999999999
528,Château la Gravette Lacombe,30.3135288,-89.9431264
529,Château les Joyeuses,46.8594883,-71.3695391
530,Château Monfort Bellevue,45.4682645,9.2071573
531,Château Vrai Caillou,44.7405401,0.0148055
532,Experience,36.1707881,-115.1442705
533,Cantine Grasso,38.2126542,15.2403092
534,Madrigal,38.553413,-122.520829
535,Scotto Family Cellars,38.131395,-121.2521601
536,Spicy Vines,38.6132703,-122.8719066
537,Les Vignerons Réunis de Monségur,44.6570383,0.07306
538,Château les Lattes,38.7100982,-121.0859549
539,Whitman Cellars,46.0683326,-118.3560841
540,Fire Block,37.5455735,-97.2689331
541,Lost River,44.037235,-71.784092
542,Trapiche,25.788579,-108.999041
543,Zolo,40.0150614,-105.2604603
544,Bailly-Lapierre,47.7211584,3.6294727
545,Balo,38.8314516,-77.1884812
546,Boasso,29.94034419999999,-89.9808256
547,Broccardo,36.0868434,-94.1096458
548,Cave des Vignerons de Buxy,46.7130719,4.7052632
549,Château de Fuissé,46.2839997,4.7405646
550,Château de Santenay,46.914614,4.694716
551,Chime,42.2101909,-83.7411005
552,Famille Laplace,43.5686384,-0.1188755
553,Altos Las Hormigas,40.7437362,-73.99133139999999
554,Aubichon Cellars,45.2725028,-123.0161155
555,Bouchard Père & Fils,47.0245233,4.8435094
556,Cambridge & Sunset,52.205337,0.121817
557,Cascina Chicco,44.79251490000001,7.9840605
558,St. Francis,36.0718917,-95.919759
559,Tamber Bey,38.5950541,-122.6034544
560,Tantara,38.1291014,-92.7184563
561,Westerly,41.3775987,-71.82728709999999
562,Aesthete,41.9031113,-87.67195149999999
563,Barton,38.4037674,-98.7331466
564,Bucci,42.435802,-82.908614
565,Château Tour Grand Faurie,44.9137475,-0.1546162
566,Hecho por Ruben,34.665311,-120.114214
567,Judd's Hill,38.3393428,-122.2797042
568,Longboard,39.2077449,-94.57542000000001
569,Piro,40.7455136,-73.9927108
570,Point & Line,41.482207,-82.6835206
571,White Hart Wine,49.1619308,-122.8461479
572,Balletto,38.42292399999999,-122.814177
573,Bien Nacido,34.8935975,-120.2996262
574,Bodega de Edgar,35.6509177,-120.741403
575,Cambria,35.5641381,-121.0807468
576,Barrière Frères,44.9876881,-0.6152908000000001
577,Sol Duc,47.9349247,-123.7711347
578,Horan Estates,47.5210049,-120.466161
579,Washington Hills,35.0847953,-85.1680097
580,Cameron Hughes,37.7667656,-122.4024757
581,Venta Morales,42.6471684,-95.20717929999999
582,Hannah Nicole Vineyards,37.9225005,-121.6575348
583,Lusco,37.709531,-97.326803
584,Michael David,38.11612969999999,-121.3720024
585,Bodegas Fontana,39.9297539,-3.0120257
586,Bodegas Peñafiel,41.6084016,-4.154527
587,Feudi di San Gregorio,40.9110653,14.8676586
588,Ghost Waltz,38.256457,-122.61041
589,Griesbauerhof,46.4975457,11.3780541
590,Cantina Produttori San Michele Appiano,46.4524221,11.2685958
591,Cembra,41.823723,-74.257335
592,Cliff Lede,38.4240652,-122.3447816
593,Clos Figueras,41.19220199999999,0.7775179999999999
594,Consilience,34.5958297,-120.1425266
595,Domaines Landron,47.1515156,-1.3845914
596,Cave du Vin Blanc de Morgex et de la Salle,45.7520769,7.0488581
597,Cedar Creek,29.8035077,-95.417627
598,Colterenzio,46.4574379,11.2945397
599,Demetria,34.7619541,-120.1159724
600,Domaine de l'Ermitage,47.1043189,2.313629
601,Domaine de Rome,47.395633,2.8169211
602,Osborne,39.4388993,-98.6947949
603,Pinord,41.3430928,1.7031186
604,Rosenblum,37.795412,-122.27938
605,Summers,37.09024,-95.712891
606,Tenuta Peter Sölva & Söhne,46.4118365,11.2436388
607,Tiefenbrunner,46.300646,11.212819
608,Tramin,46.3408096,11.2421663
609,Viszlay Vineyards,38.5887922,-122.8332625
610,Albet I Noya,41.3845846,1.8067246
611,Alta Alella,41.4868684,2.28694
612,Ampelos,34.6425561,-120.4378408
613,Ascencion,36.3682383,-96.01256049999999
614,Baigorri,42.566226,-2.686522
615,Challen,33.9270786,-117.4578412
616,Château Grand Boise,43.43339,5.714939999999999
